map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,1024,corridor_1024,0.1,sparse_vectorized_vi,2,corridor_1024|0.1|2,node006,1024,757,775168,3100672,0.054653414990752935,9.687539659353206e-11,3.1975773140402453e-09,3.1975773140402453e-09,
corridor,1024,corridor_1024,0.1,gauss_seidel_vi,2,corridor_1024|0.1|2,node006,1024,739,756736,3026944,3.684496161993593,9.423217761650449e-11,3.018982397406944e-09,3.018982397406944e-09,
corridor,1024,corridor_1024,0.1,prioritized_sweeping,2,corridor_1024|0.1|2,node006,1024,1008275,1008275,23142180,40.89944335096516,9.99804683488037e-11,3.2806326544232434e-09,3.2806326544232434e-09,
corridor,1024,corridor_1024,0.1,sparse_vectorized_vi,3,corridor_1024|0.1|3,node003,1024,757,775168,3100672,0.05159760592505336,9.687539659353206e-11,3.1975773140402453e-09,3.1975773140402453e-09,
corridor,1024,corridor_1024,0.1,gauss_seidel_vi,3,corridor_1024|0.1|3,node003,1024,739,756736,3026944,3.685471597011201,9.423217761650449e-11,3.018982397406944e-09,3.018982397406944e-09,
corridor,1024,corridor_1024,0.1,prioritized_sweeping,3,corridor_1024|0.1|3,node003,1024,1008275,1008275,23142180,37.30521268595476,9.99804683488037e-11,3.2806326544232434e-09,3.2806326544232434e-09,
corridor,1024,corridor_1024,0.1,sparse_vectorized_vi,4,corridor_1024|0.1|4,node001,1024,757,775168,3100672,0.05102044704835862,9.687539659353206e-11,3.1975773140402453e-09,3.1975773140402453e-09,
corridor,1024,corridor_1024,0.1,gauss_seidel_vi,4,corridor_1024|0.1|4,node001,1024,739,756736,3026944,3.6562232200521976,9.423217761650449e-11,3.018982397406944e-09,3.018982397406944e-09,
corridor,1024,corridor_1024,0.1,prioritized_sweeping,4,corridor_1024|0.1|4,node001,1024,1008275,1008275,23142180,39.86474135995377,9.99804683488037e-11,3.2806326544232434e-09,3.2806326544232434e-09,
open_room,24,open_room_24,0.0,sparse_vectorized_vi,0,open_room_24|0.0|0,node005,576,47,27072,108288,0.0029433449963107705,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,gauss_seidel_vi,0,open_room_24|0.0|0,node005,576,47,27072,108288,0.1409284060355276,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,prioritized_sweeping,0,open_room_24|0.0|0,node005,576,13248,13248,266888,0.37828148098196834,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,sparse_vectorized_vi,1,open_room_24|0.0|1,node001,576,47,27072,108288,0.0032338181044906378,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,gauss_seidel_vi,1,open_room_24|0.0|1,node001,576,47,27072,108288,0.14801292202901095,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,prioritized_sweeping,1,open_room_24|0.0|1,node001,576,13248,13248,266888,0.38407690497115254,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,sparse_vectorized_vi,2,open_room_24|0.0|2,node005,576,47,27072,108288,0.002971566980704665,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,gauss_seidel_vi,2,open_room_24|0.0|2,node005,576,47,27072,108288,0.14768782001920044,0.0,0.0,0.0,
open_room,24,open_room_24,0.0,prioritized_sweeping,2,open_room_24|0.0|2,node005,576,13248,13248,266888,0.3871294870041311,0.0,0.0,0.0,
