option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_003_to_001,80,"(7, 19)",57,"(5, 19)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_000_to_002,0,"(1, 1)",63,"(6, 19)",35.0,True,True,1.0,0.0,0.0,,,0.0,1.0330752429126644,56,"(5, 18)",0.3443584143042215,-21.499710848652168,maze,0.0,2
fb_001_to_002,57,"(5, 19)",63,"(6, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_003_to_002,80,"(7, 19)",63,"(6, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_000_to_003,0,"(1, 1)",80,"(7, 19)",36.0,True,True,1.0,0.0,0.0,,,0.0,2.0661504858253283,77,"(7, 16)",0.34435841430422154,-22.199077937496824,maze,0.0,2
fb_001_to_003,57,"(5, 19)",80,"(7, 19)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_002_to_003,63,"(6, 19)",80,"(7, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,2
fb_001_to_000,56,"(5, 18)",0,"(1, 1)",33.0,True,True,1.0,0.0,0.0,,,0.0,1.718264814928999,55,"(5, 17)",0.8852928099999998,-21.13372252438368,maze,0.0,3
fb_002_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_003_to_000,63,"(6, 19)",0,"(1, 1)",35.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_004_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_000_to_001,0,"(1, 1)",56,"(5, 18)",33.0,True,True,1.0,0.0,0.0,,,0.0,0.6887168286084427,55,"(5, 17)",0.3443584143042214,-21.13372252438368,maze,0.0,3
fb_002_to_001,57,"(5, 19)",56,"(5, 18)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_003_to_001,63,"(6, 19)",56,"(5, 18)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_004_to_001,80,"(7, 19)",56,"(5, 18)",3.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_000_to_002,0,"(1, 1)",57,"(5, 19)",34.0,True,True,1.0,0.0,0.0,,,0.0,0.6887168286084427,55,"(5, 17)",0.3443584143042214,-21.13372252438368,maze,0.0,3
fb_001_to_002,56,"(5, 18)",57,"(5, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_003_to_002,63,"(6, 19)",57,"(5, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_004_to_002,80,"(7, 19)",57,"(5, 19)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_000_to_003,0,"(1, 1)",63,"(6, 19)",35.0,True,True,1.0,0.0,0.0,,,0.0,0.6887168286084427,55,"(5, 17)",0.3443584143042214,-21.13372252438368,maze,0.0,3
fb_001_to_003,56,"(5, 18)",63,"(6, 19)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_002_to_003,57,"(5, 19)",63,"(6, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_004_to_003,80,"(7, 19)",63,"(6, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_000_to_004,0,"(1, 1)",80,"(7, 19)",36.0,True,True,1.0,0.0,0.0,,,0.0,2.0661504858253283,77,"(7, 16)",0.34435841430422154,-22.199077937496824,maze,0.0,3
fb_001_to_004,56,"(5, 18)",80,"(7, 19)",3.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_002_to_004,57,"(5, 19)",80,"(7, 19)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_003_to_004,63,"(6, 19)",80,"(7, 19)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,3
fb_001_to_000,56,"(5, 18)",0,"(1, 1)",33.0,True,True,1.0,0.0,0.0,,,0.0,1.718264814928999,55,"(5, 17)",0.8852928099999998,-21.13372252438368,maze,0.0,4
fb_002_to_000,57,"(5, 19)",0,"(1, 1)",34.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,4
fb_003_to_000,63,"(6, 19)",0,"(1, 1)",35.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,4
fb_004_to_000,77,"(7, 16)",0,"(1, 1)",33.0,True,True,1.0,0.0,0.0,,,0.0,2.502008174366695,76,"(7, 15)",0.8852928099999998,-21.13372252438368,maze,0.0,4
fb_005_to_000,80,"(7, 19)",0,"(1, 1)",36.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.0,maze,0.0,4
